"Tenant","TenantId","AlertId","AlertName","Description","Entity","Severity","DetectedTime"
"itwelgin","1195274944354495229","MTE5NTI3NDk0NDM1NDQ5NTIyOSwxMjA1NDIxNTMyNjAxMjY0NTQ1","Auvik Collector Disconnected","The Auvik collector at 10.242.111.195 has been disconnected from the cloud for longer than the defined threshold","","critical","2025-02-11T18:30:00.000Z"
"spectralockland","1370291002171075325","MTM3MDI5MTAwMjE3MTA3NTMyNSwxMzcwMjkxMTQxOTU0MzQ5MjU1","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.389Z"
"flooringsolutionscharleston","1370291002174679805","MTM3MDI5MTAwMjE3NDY3OTgwNSwxMzcwMjkxMTQxOTU0NzA5NzAz","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.471Z"
"spectrasterling","1370291002174941949","MTM3MDI5MTAwMjE3NDk0MTk0OSwxMzcwMjkxMTQxOTU0MTg1NDE1","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:53.448Z"
"kennyfloorslittlerock","1360139674551069437","MTM2MDEzOTY3NDU1MTA2OTQzNywxMzgyOTc4MTQ4OTM5MTgxMDIw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.675Z"
"spectradallas","1360139674525707005","MTM2MDEzOTY3NDUyNTcwNzAwNSwxMzgyOTc4MjU3ODg2MzU4NDE1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.853Z"
"flooringsolutionswilmington","1370291002170878717","MTM3MDI5MTAwMjE3MDg3ODcxNywxMzcwMjkxMTQxOTU0Njc2OTM1","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.655Z"
"specialtyflooringfithian","1360139674553821949","MTM2MDEzOTY3NDU1MzgyMTk0OSwxMzgyOTc4MTM4MTEzMTI1MTYz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.982Z"
"apexphoenix","1360139674551167741","MTM2MDEzOTY3NDU1MTE2Nzc0MSwxMzgyOTc4MTQ5MTEwMTMxNDM1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.387Z"
"servitdatacenter","1360139674553658109","MTM2MDEzOTY3NDU1MzY1ODEwOSwxMzgyOTc4MTQxMDY2MzA3OTk3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.340Z"
"spectratampa","1360139674553592573","MTM2MDEzOTY3NDU1MzU5MjU3MywxMzgyOTc4MTUyOTMzMzA1MTYy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.978Z"
"flooringsolutionsgreensboro","1370291002170845949","MTM3MDI5MTAwMjE3MDg0NTk0OSwxMzcwMjkxMTQxOTU0MjE4MTgz","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:57.853Z"
"floorsbybeckersstcloud","1360139674554018557","MTM2MDEzOTY3NDU1NDAxODU1NywxMzgyOTc4MjU3ODg2MzkxMTgz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.422Z"
"spectraaustin","1370291002174843645","MTM3MDI5MTAwMjE3NDg0MzY0NSwxMzcwMjkxMTQxOTU0MjUwOTUx","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.442Z"
"wholesalefloorsphoenix","1360139674551102205","MTM2MDEzOTY3NDU1MTEwMjIwNSwxMzcwMjkxMTQwNzkxMTE4MDIz","Auvik Collector Discovery","New Auvik collector (09216a02-4da7-463e-bd3c-abf63ffe9e30) at (unknown ip address) detected","","warning","2026-05-14T13:25:22.055Z"
"wholesalefloorsphoenix","1360139674551102205","MTM2MDEzOTY3NDU1MTEwMjIwNSwxMzgyOTc4MTQ5MTEwMTY0MjAz","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.806Z"
"spectralongwood","1360139674553527037","MTM2MDEzOTY3NDU1MzUyNzAzNywxMzgyOTc4MTU5ODQ3OTEwMjQ5","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.778Z"
"diverzifyitasca","1360139674553723645","MTM2MDEzOTY3NDU1MzcyMzY0NSwxMzgyOTc4MTU0MzAwMDI0OTc3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.978Z"
"spectrahouston","1370291002174778109","MTM3MDI5MTAwMjE3NDc3ODEwOSwxMzcwMjkxMTQxOTU0ODA4MDA3","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:53.872Z"
"diverzifyprowright","1370291002174647037","MTM3MDI5MTAwMjE3NDY0NzAzNywxMzcwMjkxMTQxOTU0NDQ3NTU5","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:54.396Z"
"spectrasaltlakecity","1370291002174909181","MTM3MDI5MTAwMjE3NDkwOTE4MSwxMzcwMjkxMTQxOTU0NDgwMzI3","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:57.919Z"
"diverzifyatlanta","1360139674553625341","MTM2MDEzOTY3NDU1MzYyNTM0MSwxMzgyOTc4MTQ4OTM5MTQ4MjUy","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.548Z"
"wholesalefloorsspokane","1370291002175040253","MTM3MDI5MTAwMjE3NTA0MDI1MywxMzcwMjkxMTQxOTU0MDU0MzQz","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:56.047Z"
"azureuseast","1370291002174974717","MTM3MDI5MTAwMjE3NDk3NDcxNywxMzcwMjkxMTQxOTU0NjQ0MTY3","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:58.068Z"
"azureuseast","1370291002174974717","MTM3MDI5MTAwMjE3NDk3NDcxNywxMzcwMjkxMTQxOTY4MDEzNTEx","Auvik Collector Discovery","New Auvik collector (e72f3c77-ae3f-4efa-926e-4f73f169aabb) at (unknown ip address) detected","","warning","2026-06-11T22:58:52.662Z"
"rdweishartford","1360139674553494269","MTM2MDEzOTY3NDU1MzQ5NDI2OSwxMzgyOTc4MTM2MDc0NDMxMDUw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.153Z"
"prospectraunioncity","1360139674553428733","MTM2MDEzOTY3NDU1MzQyODczMywxMzgyOTc4MTUyNDMwNTQ1MjE5","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.579Z"
"prospectracerritos","1360139674553363197","MTM2MDEzOTY3NDU1MzM2MzE5NywxMzgyOTc4MTM2MDc0NTI5MzU0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.733Z"
"spectramadison","1360139674551003901","MTM2MDEzOTY3NDU1MTAwMzkwMSwxMzgyOTc4MjU3ODg2NDIzOTUx","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:18.980Z"
"spectranorcross","1327174886223457021","MTMyNzE3NDg4NjIyMzQ1NzAyMSwxMzgyOTc4MTUyNDMwNDQ2OTE1","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.720Z"
"spectraharrisburg","1370291002174614269","MTM3MDI5MTAwMjE3NDYxNDI2OSwxMzcwMjkxMTQxOTU0NDE0Nzkx","Auvik Collector Disconnected","The collector, IL095-MOPRIT-01 (Internal IP: 10.95.255.7 / External IP: ) is OFFLINE.","","critical","2026-06-11T14:55:56.781Z"
"teamseco","1119167462474918653","MTExOTE2NzQ2MjQ3NDkxODY1MywxMjEzMDMyMTkzMjU3MTU1NDMx","Auvik Collector Disconnected","The Auvik collector at 192.168.4.50 has been disconnected from the cloud for longer than the defined threshold","","critical","2025-03-11T19:14:00.000Z"
"itwsipper","1119167462459845373","MTExOTE2NzQ2MjQ1OTg0NTM3MywxMTM5NDUxMTYwMzQ2MjA4Mzc0","Auvik Collector Disconnected","The Auvik collector at 10.243.100.200 has been disconnected from the cloud for longer than the defined threshold","","critical","2024-08-17T08:34:00.000Z"
"spectrajacksonville","1360139674553559805","MTM2MDEzOTY3NDU1MzU1OTgwNSwxMzgyOTc4MTQ1MDkzMTM0ODkw","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.823Z"
"spectrabirmingham","1360139674551036669","MTM2MDEzOTY3NDU1MTAzNjY2OSwxMzgyOTc4MjY2MTM4MzU1ODA0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:21.041Z"
"spectralouisville","1360139674553920253","MTM2MDEzOTY3NDU1MzkyMDI1MywxMzgyOTc4MTM2MDc0NDYzODE4","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.792Z"
"diverzifyprostlouis","1360139674554116861","MTM2MDEzOTY3NDU1NDExNjg2MSwxMzgyOTc4MTU5MTUzOTQ4OTU0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:20.754Z"
"spectralosangeles","1360139674553297661","MTM2MDEzOTY3NDU1MzI5NzY2MSwxMzgyOTc4MTYxNzM0OTIwMTk0","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:22.364Z"
"spectradenver","1360139674553461501","MTM2MDEzOTY3NDU1MzQ2MTUwMSwxMzgyOTc4MTQzNDgzOTY0MTc3","Auvik Collector Disconnected","The collector, IL095-RMM-01 (Internal IP: 10.95.8.17 / External IP: ) is OFFLINE.","","critical","2026-06-15T12:29:19.358Z"
